,nom_entreprise,adresse,latitude,longitude,activite_principale
2763,VALTEX (CABAIA),LOCAL N68 CTRE CIAL NEYRPIC ZAC NEY AVENUE BENOIT FRACHON 38400 SAINT-MARTIN-D'HERES,45.183623,5.754039,47.72B
2764,DIRECTION INTERDEPARTEMENTALE DES ROUTES CENTRE-EST (DIR),15 BOULEVARD JOSEPH VALLIER 38000 GRENOBLE,45.179915,5.712982,84.13Z
2765,DIRECTION INTERDEPARTEMENTALE DES ROUTES CENTRE-EST (DIR),21 AVENUE VICTOR HUGO 38170 SEYSSINET-PARISET,45.177942,5.69423,84.13Z
2766,INETUM,ZIRST 4102 37 CHEMIN DU VIEUX CHENE 38240 MEYLAN,45.207915,5.794747,62.02A
2767,SFS FRANCE,10 RUE D'ARMENIE 38000 GRENOBLE,45.192212,5.711713,66.22Z
2768,SQUARE HABITAT SUD RHONE ALPES,52 B AVENUE DU GRESIVAUDAN 38700 CORENC,45.209126,5.759583,68.31Z
2769,SQUARE HABITAT SUD RHONE ALPES,1709 RUE DE BELLEDONNE 38920 CROLLES,45.272018,5.893178,68.31Z
2770,SQUARE HABITAT SUD RHONE ALPES,RUE DE LA PRIOLA 38660 LE TOUVET,45.357804,5.953382,68.31Z
2771,SQUARE HABITAT SUD RHONE ALPES,PLACE ROBERT SCHUMAN 1323 AVENUE DE L’EUROPE 38330 MONTBONNOT-SAINT-MARTIN,45.221998,5.812275,68.31Z
2772,SQUARE HABITAT SUD RHONE ALPES,10 ALLEE DE L’ATRIUM 38640 CLAIX,45.120165,5.690907,68.31Z
2773,SQUARE HABITAT SUD RHONE ALPES,5 RUE DE CHARNECLE 38340 VOREPPE,45.297665,5.636958,68.31Z
2774,SQUARE HABITAT SUD RHONE ALPES,46 COURS JEAN JAURES 38130 ECHIROLLES,45.151095,5.705686,68.31Z
2775,SQUARE HABITAT SUD RHONE ALPES,64 RUE DE LA FAUCONNIERE 38170 SEYSSINET-PARISET,45.175561,5.693333,68.31Z
2776,SQUARE HABITAT SUD RHONE ALPES,10 AVENUE PIERRE BEREGOVOY 38210 TULLINS,45.29777,5.483893,68.31Z
2777,SQUARE HABITAT SUD RHONE ALPES,6 AVENUE DE LA GRANDE CHARTREUSE 38380 SAINT-LAURENT-DU-PONT,45.386847,5.73563,68.31Z
2778,SOCIETE PAR ACTIONS SIMPLIFIEE INNOVATION MUTUALISME ORGANISATION DEVELOPPEMENT DURABLE ENERGIE RENOUVELABLE (SAS IMODDER),TERRE BASSE 81120 TEILLET,45.1911004,5.7313448,35.11Z
2779,SOFINTHER (SOFINTHER),RUE DE COMBOIRE 38130 ECHIROLLES,45.146556,5.69342,46.74B
2780,SOCIETE FIDUCIAIRE NATIONALE DE REVISION COMPTABLE - FIDAUDIT (FIDUCIAL AUDIT) (FIDAUDIT),1 ALLEE DES CENTAUREES 38240 MEYLAN,45.20284,5.76545,69.20Z
2781,BNP PARIBAS PERSONAL FINANCE (CETELEM ARGENIUS BNP PARIBAS INVEST IMMO),30 CRS LIBERATION - GEN DE GAULLE 38000 GRENOBLE,45.177344,5.715073,65.1C
2782,BNP PARIBAS PERSONAL FINANCE (CETELEM ARGENIUS BNP PARIBAS INVEST IMMO),1 RUE CHAMPOLLION 38000 GRENOBLE,45.188486,5.734572,65.1C
2783,BNP PARIBAS PERSONAL FINANCE (CETELEM ARGENIUS BNP PARIBAS INVEST IMMO),28 COURS JEAN JAURES 38000 GRENOBLE,45.189783,5.719263,65.1C
2784,BNP PARIBAS PERSONAL FINANCE (CETELEM ARGENIUS BNP PARIBAS INVEST IMMO),L'EURENNEPOLIS-GRENOBLE 1 4 PLACE ROBERT SCHUMAN 38000 GRENOBLE,45.191539,5.713128,65.1C
2785,BNP PARIBAS PERSONAL FINANCE (CETELEM ARGENIUS BNP PARIBAS INVEST IMMO),22 AVENUE DOYEN LOUIS WEIL 38000 GRENOBLE,45.192947,5.712567,65.1C
2786,BNP PARIBAS PERSONAL FINANCE (CETELEM ARGENIUS BNP PARIBAS INVEST IMMO),16 AVENUE ALSACE LORRAINE 38000 GRENOBLE,45.189473,5.720816,64.19Z
2787,BNP PARIBAS PERSONAL FINANCE (CETELEM ARGENIUS BNP PARIBAS INVEST IMMO),12 PLACE GRENETTE 38000 GRENOBLE,45.190774,5.727102,64.19Z
2788,EUROPE 2 REGIONS,MINI PARC ZIRST 60 RUE LAVOISIER 38330 MONTBONNOT-SAINT-MARTIN,45.217031,5.81007,60.10Z
2789,ARCELORMITTAL DISTRIBUTION SOLUTIONS FRANCE,9 AVENUE VICTOR HUGO 38130 ECHIROLLES,45.152256,5.710921,46.72Z
2790,M & C,99 AVENUE GABRIEL PERI 38400 SAINT-MARTIN-D'HERES,45.185769,5.762044,47.76Z
2791,M & C,24 AVENUE DE L'ILE BRUNE 38120 SAINT-EGREVE,45.229573,5.670354,47.76Z
2792,MGEN ACTION SANITAIRE ET SOCIALE (GROUPE MGEN),3 RUE FELIX POULAT 38000 GRENOBLE,45.190181,5.726818,86.10Z
2793,ADIDAS FRANCE (ADIDAS),LOT 10 60 RUE DES BERGES 38000 GRENOBLE,45.204559,5.702116,82.11Z
2794,CIBLEX FRANCE,13 RUE DES TREMBLES 38100 GRENOBLE,45.165881,5.729667,60.2L
2795,CIBLEX FRANCE,L ILE BRUNE 38120 SAINT-EGREVE,45.229573,5.670354,63.1E
2796,CIBLEX FRANCE,25 RUE LOUIS GAGNIERE 38950 SAINT-MARTIN-LE-VINOUX,45.215406,5.685224,52.29A
2797,GAMES WORKSHOP (GW),5 RUE PAUL BERT 38000 GRENOBLE,45.188249,5.725561,47.65Z
2798,GAMES WORKSHOP (GW),54 COURS BERRIAT 38000 GRENOBLE,45.188296,5.717565,47.65Z
2799,MUTUALITE FRANCAISE ISERE SERVICES SOINS ET ACCOMPAGNEMENT MUTUALISTE (MFI.SSAM),5 RUE VAUBAN 38000 GRENOBLE,45.188321,5.723675,70.10Z
2800,MUTUALITE FRANCAISE ISERE SERVICES SOINS ET ACCOMPAGNEMENT MUTUALISTE (MFI.SSAM),41 ROUTE DU PAVILLON 38760 VARCES-ALLIERES-ET-RISSET,45.103779,5.684485,87.10B
