,Code NAF,Intitule NAF
274,2364Z,Fabrication de mortiers et bétons secs
275,245,Fonderie
276,7500Z,Activités vétérinaires
277,303,Construction aéronautique et spatiale
278,631,"Traitement de données, hébergement et activités connexes ; portails Internet"
279,7729Z,Location et location-bail d'autres biens personnels et domestiques
280,8690D,Activités des infirmiers et des sages-femmes
281,09,Services de soutien aux industries extractives
282,4646Z,Commerce de gros (commerce interentreprises) de produits pharmaceutiques
283,1439Z,Fabrication d'autres articles à mailles
284,591,"Activités cinématographiques, vidéo et de télévision"
285,2733,Fabrication de matériel d'installation électrique
286,521,Entreposage et stockage
287,2720Z,Fabrication de piles et d'accumulateurs électriques
288,3900,Dépollution et autres services de gestion des déchets
289,620,Extraction de gaz naturel
290,853,Enseignement secondaire
291,1061A,Meunerie
292,3315Z,Réparation et maintenance navale
293,4725,Commerce de détail de boissons en magasin spécialisé
294,2433Z,Profilage à froid par formage ou pliage
295,1910Z,Cokéfaction
296,2752,Fabrication d'appareils ménagers non électriques
297,2814,Fabrication d'autres articles de robinetterie
298,331,"Réparation d'ouvrages en métaux, de machines et d'équipements"
299,4331Z,Travaux de plâtrerie
300,2821,Fabrication de fours et brûleurs
301,4213,Construction de ponts et tunnels
302,1420,Fabrication d'articles en fourrure
303,1052,Fabrication de glaces et sorbets
304,823,Organisation de salons professionnels et congrès
305,7320,Études de marché et sondages
306,4635Z,Commerce de gros (commerce interentreprises) de produits à base de tabac
307,4540,Commerce et réparation de motocycles
308,3320B,Installation de machines et équipements mécaniques
309,41,Construction de bâtiments
310,1104Z,Production d'autres boissons fermentées non distillées
311,7112A,Activité des géomètres
312,2363Z,Fabrication de béton prêt à l'emploi
313,3822Z,Traitement et élimination des déchets dangereux
314,2899A,Fabrication de machines d'imprimerie
315,9411Z,Activités des organisations patronales et consulaires
316,351,"Production, transport et distribution d'électricité"
317,3514,Commerce d'électricité
318,77,Activités de location et location-bail
319,1520,Fabrication de chaussures
320,45,Commerce et réparation d'automobiles et de motocycles
321,0124Z,Culture de fruits à pépins et à noyau
322,4771Z,Commerce de détail d'habillement en magasin spécialisé
323,5812,Édition de répertoires et de fichiers d'adresses
324,2342,Fabrication d'appareils sanitaires en céramique
325,5829,Édition d'autres logiciels
326,4511,Commerce de voitures et de véhicules automobiles légers
327,3316Z,Réparation et maintenance d'aéronefs et d'engins spatiaux
328,4291Z,Construction d'ouvrages maritimes et fluviaux
329,6832,Administration de biens immobiliers
330,22,Exploitation forestière
331,452,Entretien et réparation de véhicules automobiles
332,0812Z,"Exploitation de gravières et sablières, extraction d’argiles et de kaolin"
333,1082Z,"Fabrication de cacao, chocolat et de produits de confiserie"
334,273,Fabrication de fils et câbles et de matériel d'installation électrique
335,2894Z,Fabrication de machines pour les industries textiles
336,1031Z,Transformation et conservation de pommes de terre
337,3314,Réparation d'équipements électriques
338,0510Z,Extraction de houille
339,8790A,Hébergement social pour enfants en difficultés
340,2892,Fabrication de machines pour l'extraction ou la construction
341,4799,"Autres commerces de détail hors magasin, éventaires ou marchés"
342,7220,Recherche-développement en sciences humaines et sociales
343,1520Z,Fabrication de chaussures
344,4690Z,Commerce de gros (commerce interentreprises) non spécialisé
345,2453Z,Fonderie de métaux légers
346,5210A,Entreposage et stockage frigorifique
347,851,Enseignement pré-primaire
348,23,Récolte de produits forestiers non ligneux poussant à l'état sauvage
349,4674A,Commerce de gros (commerce interentreprises) de quincaillerie
